Home Player Win,Home Player Country,Away Player Country,Date,Difference of Age:  Home Player,Difference Height: Home Player,Difference Weight: Home Player,Home Player Age,Home Player Height (Inches),Home Player Weight (Lbs),Away Player Age,Away Player Height (Inches),Away Player Weight (Lbs)
1,Poland,USA,43056,5,-2,-25,34,83,240,29,85,265
1,USA,USA,43056,3,-2,-37,30,80,228,27,82,265
0,USA,USA,43056,0,-1,-14,30,82,251,30,83,265
0,Lithuania,Latvia,43056,3,-3,25,26,84,265,23,87,240
1,USA,USA,43056,-2,1,10,30,84,275,32,83,265
1,Spain,New Zealand,43056,13,0,-15,38,84,250,25,84,265
0,Germany,USA,43056,4,-1,-8,26,83,240,22,84,248
0,Haiti,Bosnia and Herzegovina,43056,-2,-1,-40,22,83,235,24,84,275
0,USA,USA,43056,8,-2,-7,33,80,246,25,82,253
1,USA,USA,43056,2,1,5,30,84,270,28,83,265
0,USA,USA,43057,2,0,0,32,83,265,30,83,265
1,Montenegro,USA,43057,0,2,-5,27,84,260,27,82,265
1,USA,Dominican Republic,43057,-3,2,0,29,84,245,32,82,245
1,Cameroon,Russia,43057,-10,1,-20,24,84,250,34,83,270
1,Spain,Switzerland,43057,9,3,15,33,85,255,24,82,240
0,Germany,USA,43057,-1,0,21,26,83,240,27,83,219
1,Bosnia and Herzegovina,Haiti,43057,2,1,40,24,84,275,22,83,235
0,USA,USA,43058,7,2,15,29,85,265,22,83,250
1,USA,Russia,43058,-4,-3,-42,30,80,228,34,83,270
0,Lithuania,Poland,43058,-8,1,25,26,84,265,34,83,240
0,USA,USA,43058,-3,1,-31,22,84,248,25,83,279
0,USA,USA,43058,-2,-1,-10,28,83,265,30,84,275
1,USA,USA,43058,-3,4,24,30,84,270,33,80,246
1,USA,USA,43059,10,-1,17,32,83,265,22,84,248
1,USA,USA,43059,-5,1,28,25,83,279,30,82,251
0,Montenegro,USA,43059,5,1,10,27,84,260,22,83,250
1,Cameroon,USA,43059,-3,2,-15,24,84,250,27,82,265
1,Latvia,USA,43059,-7,4,-25,23,87,240,30,83,265
0,Spain,Bosnia and Herzegovina,43059,9,1,-20,33,85,255,24,84,275
0,USA,Poland,43059,-7,0,-21,27,83,219,34,83,240
0,USA,New Zealand,43059,0,-2,-12,25,82,253,25,84,265
0,Germany,Dominican Republic,43059,-6,1,-5,26,83,240,32,82,245
1,Spain,USA,43059,9,0,5,38,84,250,29,84,245
1,Haiti,USA,43059,-6,3,15,22,83,235,28,80,220
1,USA,USA,43060,0,0,-5,30,84,270,30,84,275
0,USA,Poland,43061,-2,0,25,32,83,265,34,83,240
1,USA,USA,43061,2,-2,-8,30,82,251,28,84,259
1,Cameroon,Bosnia and Herzegovina,43061,0,0,-25,24,84,250,24,84,275
0,USA,USA,43061,-9,-1,-30,21,82,235,30,83,265
1,USA,Dominican Republic,43061,-3,3,20,29,85,265,32,82,245
0,Latvia,Lithuania,43061,-3,3,-25,23,87,240,26,84,265
1,Spain,Germany,43061,7,2,15,33,85,255,26,83,240
0,USA,Montenegro,43061,-5,0,-12,22,84,248,27,84,260
0,USA,Spain,43061,-13,-2,3,25,82,253,38,84,250
1,New Zealand,Russia,43061,-9,1,-5,25,84,265,34,83,270
1,USA,South Sudan,43061,15,0,19,36,85,240,21,85,221
1,USA,USA,43061,-3,-2,-10,27,82,265,30,84,275
1,Haiti,USA,43061,-8,-1,-35,22,83,235,30,84,270
1,USA,Bosnia and Herzegovina,43063,4,0,-16,28,84,259,24,84,275
0,USA,Latvia,43063,6,-3,5,29,84,245,23,87,240
0,Dominican Republic,Montenegro,43063,5,-2,-15,32,82,245,27,84,260
0,USA,USA,43063,-2,-1,-14,30,82,251,32,83,265
0,USA,Lithuania,43063,-4,-1,-15,22,83,250,26,84,265
1,USA,USA,43063,-7,-1,-17,22,84,248,29,85,265
1,New Zealand,USA,43063,0,1,-14,25,84,265,25,83,279
0,USA,Spain,43063,-5,-5,-35,28,80,220,33,85,255
0,USA,USA,43063,11,3,-13,36,85,240,25,82,253
0,Russia,USA,43063,4,-1,-5,34,83,270,30,84,275
1,USA,Spain,43064,-6,-1,15,32,83,265,38,84,250
1,Cameroon,Montenegro,43064,-3,0,-10,24,84,250,27,84,260
0,Poland,Bosnia and Herzegovina,43064,10,-1,-35,34,83,240,24,84,275
0,USA,Lithuania,43064,3,0,-20,29,84,245,26,84,265
1,USA,Germany,43064,-4,3,7,22,83,250,26,80,243
0,Switzerland,USA,43064,-4,0,-10,24,82,240,28,82,250
1,Germany,New Zealand,43064,1,-1,-25,26,83,240,25,84,265
0,Russia,USA,43064,9,1,17,34,83,270,25,82,253
0,USA,USA,43064,0,-1,46,27,82,265,27,83,219
0,Haiti,USA,43064,-8,0,-30,22,83,235,30,83,265
1,USA,USA,43065,-6,1,-17,22,84,248,28,83,265
1,Spain,USA,43065,5,1,-4,33,85,255,28,84,259
0,USA,Montenegro,43066,-5,-1,-10,22,83,250,27,84,260
1,Cameroon,USA,43066,-6,2,-1,24,84,250,30,82,251
0,Dominican Republic,USA,43066,7,-1,-34,32,82,245,25,83,279
0,Latvia,Bosnia and Herzegovina,43066,-1,3,-35,23,87,240,24,84,275
1,Switzerland,USA,43066,-4,-2,-19,24,82,240,28,84,259
1,Spain,Germany,43066,12,1,10,38,84,250,26,83,240
0,Russia,Haiti,43066,12,0,35,34,83,270,22,83,235
1,USA,USA,43066,0,-1,-5,30,83,265,30,84,270
0,USA,USA,43067,1,-3,-14,30,82,251,29,85,265
0,USA,USA,43067,-6,-1,35,30,84,275,36,85,240
1,USA,Poland,43067,-12,1,8,22,84,248,34,83,240
1,USA,USA,43067,-1,2,45,27,82,265,28,80,220
1,Haiti,USA,43067,-5,0,16,22,83,235,27,83,219
1,USA,USA,43068,-3,0,14,25,83,279,28,83,265
1,Montenegro,New Zealand,43068,2,0,-5,27,84,260,25,84,265
0,Cameroon,Poland,43068,-10,1,10,24,84,250,34,83,240
1,Latvia,USA,43068,2,6,-15,23,87,240,21,81,255
1,Lithuania,USA,43068,-6,1,0,26,84,265,32,83,265
1,Switzerland,USA,43068,2,-1,-10,24,82,240,22,83,250
1,USA,USA,43068,3,-2,5,25,82,253,22,84,248
0,Spain,Spain,43068,5,-1,-5,38,84,250,33,85,255
0,USA,Russia,43068,-4,1,0,30,84,270,34,83,270
1,USA,USA,43069,-9,0,-16,21,82,235,30,82,251
0,Dominican Republic,USA,43069,1,1,5,32,82,245,31,81,240
0,Serbia,USA,43069,-7,0,-25,23,84,250,30,84,275
0,Bosnia and Herzegovina,USA,43069,-3,1,56,24,84,275,27,83,219
1,USA,USA,43069,3,1,0,30,83,265,27,82,265
0,Montenegro,Russia,43070,-7,1,-10,27,84,260,34,83,270
0,Lithuania,USA,43070,4,1,15,26,84,265,22,83,250
0,Poland,USA,43070,9,0,-39,34,83,240,25,83,279
0,USA,USA,43070,-11,-2,-10,21,81,255,32,83,265
0,USA,Haiti,43070,8,1,40,30,84,275,22,83,235
0,Spain,Spain,43070,-5,1,5,33,85,255,38,84,250
1,New Zealand,USA,43070,3,0,17,25,84,265,22,84,248
0,USA,USA,43070,2,0,12,27,82,265,25,82,253
1,Dominican Republic,USA,43071,-4,-3,5,32,82,245,36,85,240
0,Germany,USA,43071,-4,0,-25,26,83,240,30,83,265
0,USA,USA,43071,-2,1,10,28,84,259,30,83,249
0,USA,Spain,43071,-3,-3,-4,30,82,251,33,85,255
1,Cameroon,USA,43071,-1,1,-29,24,84,250,25,83,279
0,USA,Greece,43071,-2,-1,-26,27,83,219,29,84,245
0,USA,USA,43071,-2,-1,-35,28,83,235,30,84,270
1,Bosnia and Herzegovina,USA,43071,-4,1,5,24,84,275,28,83,270
0,USA,Montenegro,43072,-1,-1,-10,26,83,250,27,84,260
1,USA,Russia,43072,-13,-2,-15,21,81,255,34,83,270
0,USA,USA,43072,-8,1,-17,22,84,248,30,83,265
0,New Zealand,Spain,43072,-13,0,15,25,84,265,38,84,250
0,USA,Switzerland,43072,6,2,30,30,84,270,24,82,240
1,USA,Montenegro,43073,5,-1,5,32,83,265,27,84,260
0,USA,USA,43073,-4,0,0,22,83,250,26,83,250
0,Cameroon,USA,43073,-12,-1,10,24,84,250,36,85,240
1,USA,USA,43073,2,-1,-10,30,83,249,28,84,259
1,Dominican Republic,USA,43073,5,-1,26,32,82,245,27,83,219
1,USA,USA,43073,0,2,24,30,84,275,30,82,251
1,Spain,USA,43073,11,1,7,33,85,255,22,84,248
1,USA,USA,43073,-2,-1,0,28,83,270,30,84,270
1,Germany,USA,43073,-2,0,5,26,83,240,28,83,235
1,Spain,USA,43073,13,1,-29,38,84,250,25,83,279
0,France,Poland,43073,-8,3,5,26,86,245,34,83,240
1,Lithuania,USA,43074,-2,1,0,26,84,265,28,83,265
1,New Zealand,France,43074,-1,-2,20,25,84,265,26,86,245
0,Bosnia and Herzegovina,Poland,43074,-10,1,35,24,84,275,34,83,240
0,USA,USA,43075,5,1,36,30,82,251,25,81,215
0,USA,USA,43075,-8,-1,-25,22,83,250,30,84,275
1,Montenegro,USA,43075,-3,1,11,27,84,260,30,83,249
0,Dominican Republic,Germany,43075,6,-1,5,32,82,245,26,83,240
0,Latvia,Spain,43075,-10,2,-15,23,87,240,33,85,255
0,USA,Russia,43075,-2,0,-5,32,83,265,34,83,270
1,USA,USA,43075,2,0,-60,27,83,219,25,83,279
1,USA,USA,43075,0,3,50,28,83,270,28,80,220
0,Spain,Canada,43075,11,0,10,38,84,250,27,84,240
0,Cameroon,USA,43076,-6,0,-20,24,84,250,30,84,270
0,USA,Poland,43076,-13,-1,0,21,82,240,34,83,240
1,USA,New Zealand,43076,3,0,-6,28,84,259,25,84,265
1,France,Switzerland,43076,2,4,5,26,86,245,24,82,240
1,USA,USA,43077,2,-1,-10,32,83,265,30,84,275
1,USA,USA,43077,-5,-1,9,25,83,279,30,84,270
1,USA,USA,43077,-8,1,-1,22,83,250,30,82,251
1,Montenegro,USA,43077,-1,1,25,27,84,260,28,83,235
0,Spain,Lithuania,43077,7,1,-10,33,85,255,26,84,265
1,USA,Germany,43077,1,0,-21,27,83,219,26,83,240
1,USA,USA,43077,0,1,38,25,82,253,25,81,215
1,Spain,Dominican Republic,43077,6,2,5,38,84,250,32,82,245
1,USA,Canada,43078,1,0,19,28,84,259,27,84,240
1,USA,USA,43078,2,-1,-5,32,83,265,30,84,270
0,Croatia,USA,43078,-10,2,14,21,83,254,31,81,240
1,USA,Latvia,43078,7,-3,35,30,84,275,23,87,240
1,USA,France,43078,1,-3,-26,27,83,219,26,86,245
0,Spain,New Zealand,43078,8,1,-10,33,85,255,25,84,265
0,USA,USA,43078,3,2,-20,36,85,240,33,83,260
1,USA,Switzerland,43078,2,2,20,26,84,260,24,82,240
0,Haiti,Lithuania,43079,-4,-1,-30,22,83,235,26,84,265
1,USA,Dominican Republic,43079,-7,1,34,25,83,279,32,82,245
0,USA,USA,43079,-6,0,15,22,83,250,28,83,235
1,USA,Germany,43079,-4,1,8,22,84,248,26,83,240
1,USA,USA,43079,-6,1,13,25,82,253,31,81,240
0,Latvia,USA,43079,-7,4,-9,23,87,240,30,83,249
1,USA,Dominican Republic,43080,-2,2,30,30,84,275,32,82,245
0,Switzerland,USA,43080,-4,-1,-30,24,82,240,28,83,270
1,Spain,Canada,43080,6,1,15,33,85,255,27,84,240
0,New Zealand,USA,43080,-7,1,0,25,84,265,32,83,265
1,USA,USA,43080,-3,-3,-36,23,81,224,26,84,260
0,USA,Lithuania,43080,4,-1,0,30,83,265,26,84,265
1,USA,USA,43081,6,1,13,30,82,251,24,81,238
0,USA,USA,43081,-3,0,44,25,83,279,28,83,235
0,Latvia,USA,43081,-7,3,-30,23,87,240,30,84,270
0,USA,Poland,43081,-6,1,19,28,84,259,34,83,240
1,USA,Cameroon,43081,-2,0,-2,22,84,248,24,84,250
0,Germany,Spain,43081,-12,-1,-10,26,83,240,38,84,250
1,Haiti,USA,43081,-14,-2,-5,22,83,235,36,85,240
0,USA,New Zealand,43082,-3,-1,-15,22,83,250,25,84,265
1,Montenegro,USA,43082,-3,1,-5,27,84,260,30,83,265
0,Poland,Spain,43082,1,-2,-15,34,83,240,33,85,255
1,Australia,USA,43082,3,-1,25,31,82,260,28,83,235
0,Canada,USA,43082,7,0,5,27,84,240,20,84,235
1,USA,France,43082,4,-2,30,30,84,275,26,86,245
0,USA,USA,43082,-2,-1,34,25,82,253,27,83,219
1,USA,Lithuania,43082,-5,-2,-25,21,82,240,26,84,265
0,Switzerland,USA,43082,-8,-1,-25,24,82,240,32,83,265
1,USA,USA,43083,5,0,-30,30,83,249,25,83,279
0,USA,Latvia,43083,5,-3,19,28,84,259,23,87,240
0,USA,USA,43083,0,-2,-19,30,82,251,30,84,270
0,USA,Haiti,43083,0,1,13,22,84,248,22,83,235
1,USA,Germany,43083,-3,-2,-16,23,81,224,26,83,240
1,USA,Canada,43084,5,-1,25,32,83,265,27,84,240
0,USA,USA,43084,-3,0,-29,22,83,250,25,83,279
